"Counting","CITP Australian Citizenship","CED (UR)","AGEP Age","Count",
"Persons, Place of Usual Residence","Australian","Corio","19",1601
"Persons, Place of Usual Residence","Australian","Corio","20",1610
"Persons, Place of Usual Residence","Australian","Corio","21",1701
"Persons, Place of Usual Residence","Australian","Corio","22",1730
"Persons, Place of Usual Residence","Australian","Corio","23",1645
"Persons, Place of Usual Residence","Australian","Corio","24",1673
"Persons, Place of Usual Residence","Australian","Corio","25",1643
"Persons, Place of Usual Residence","Australian","Corio","26",1621
"Persons, Place of Usual Residence","Australian","Corio","27",1592
"Persons, Place of Usual Residence","Australian","Corio","28",1495
"Persons, Place of Usual Residence","Australian","Corio","29",1520
"Persons, Place of Usual Residence","Australian","Corio","30",1577
"Persons, Place of Usual Residence","Australian","Deakin","15",1457
"Persons, Place of Usual Residence","Australian","Deakin","16",1441
"Persons, Place of Usual Residence","Australian","Deakin","17",1408
"Persons, Place of Usual Residence","Australian","Deakin","18",1463
"Persons, Place of Usual Residence","Australian","Deakin","19",1405
"Persons, Place of Usual Residence","Australian","Deakin","20",1316
"Persons, Place of Usual Residence","Australian","Deakin","21",1456
"Persons, Place of Usual Residence","Australian","Deakin","22",1401
"Persons, Place of Usual Residence","Australian","Deakin","23",1368
"Persons, Place of Usual Residence","Australian","Deakin","24",1316
"Persons, Place of Usual Residence","Australian","Deakin","25",1279
"Persons, Place of Usual Residence","Australian","Deakin","26",1295
"Persons, Place of Usual Residence","Australian","Deakin","27",1288
"Persons, Place of Usual Residence","Australian","Deakin","28",1212
"Persons, Place of Usual Residence","Australian","Deakin","29",1348
"Persons, Place of Usual Residence","Australian","Deakin","30",1372
"Persons, Place of Usual Residence","Australian","Dunkley","15",1534
"Persons, Place of Usual Residence","Australian","Dunkley","16",1531
"Persons, Place of Usual Residence","Australian","Dunkley","17",1597
"Persons, Place of Usual Residence","Australian","Dunkley","18",1491
"Persons, Place of Usual Residence","Australian","Dunkley","19",1450
"Persons, Place of Usual Residence","Australian","Dunkley","20",1508
"Persons, Place of Usual Residence","Australian","Dunkley","21",1549
"Persons, Place of Usual Residence","Australian","Dunkley","22",1493
"Persons, Place of Usual Residence","Australian","Dunkley","23",1500
"Persons, Place of Usual Residence","Australian","Dunkley","24",1385
"Persons, Place of Usual Residence","Australian","Dunkley","25",1477
